Id,satisfaction_v2,Gate location,Cleanliness
13239,dissatisfied,Peu satisfait,Satisfait
30609,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
115706,satisfied,Tres satisfait,Tres satisfait
64532,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
127023,satisfied,Satisfait,Peu satisfait
113688,satisfied,Peu satisfait,Tres satisfait
43267,dissatisfied,Satisfait,Satisfait
41873,dissatisfied,Peu satisfait,Satisfait
40280,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
54611,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
77374,dissatisfied,Tres satisfait,Satisfait
94704,satisfied,Tres satisfait,Satisfait
76686,satisfied,Satisfait,Peu satisfait
56117,dissatisfied,Peu satisfait,Peu satisfait
68686,dissatisfied,"Ni satisfait, ni insatisfait",Pas du tout satisfait
117896,satisfied,Tres satisfait,Tres satisfait
75760,dissatisfied,Satisfait,Peu satisfait
90208,satisfied,Pas du tout satisfait,Satisfait
27107,dissatisfied,Satisfait,Satisfait
87954,satisfied,Tres satisfait,"Ni satisfait, ni insatisfait"
113613,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
64370,satisfied,"Ni satisfait, ni insatisfait",Satisfait
37557,dissatisfied,"Ni satisfait, ni insatisfait",Tres satisfait
79303,satisfied,Peu satisfait,Satisfait
123268,satisfied,Satisfait,Pas du tout satisfait
77069,dissatisfied,Pas du tout satisfait,Satisfait
35960,dissatisfied,Satisfait,Tres satisfait
97689,satisfied,Pas du tout satisfait,Satisfait
94283,dissatisfied,Tres satisfait,Satisfait
62916,satisfied,"Ni satisfait, ni insatisfait",Satisfait
122241,satisfied,Satisfait,Tres satisfait
127120,satisfied,Peu satisfait,Tres satisfait
75970,satisfied,Satisfait,Tres satisfait
57824,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
39747,satisfied,"Ni satisfait, ni insatisfait",Satisfait
109851,satisfied,Pas du tout satisfait,Tres satisfait
790,satisfied,Satisfait,Satisfait
58859,satisfied,Peu satisfait,Satisfait
29646,dissatisfied,Peu satisfait,Satisfait
1042,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
57957,satisfied,Peu satisfait,Satisfait
81796,dissatisfied,Pas du tout satisfait,"Ni satisfait, ni insatisfait"
32311,satisfied,Peu satisfait,Pas du tout satisfait
38529,satisfied,Satisfait,"Ni satisfait, ni insatisfait"
55584,dissatisfied,Tres satisfait,Tres satisfait
29754,satisfied,Pas du tout satisfait,Tres satisfait
22836,dissatisfied,Peu satisfait,Pas du tout satisfait
69900,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
47234,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
80684,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
43351,dissatisfied,Tres satisfait,Satisfait
98773,satisfied,Satisfait,Satisfait
43252,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
22322,dissatisfied,Satisfait,"Ni satisfait, ni insatisfait"
70934,satisfied,Peu satisfait,Peu satisfait
54969,dissatisfied,Satisfait,Satisfait
109567,satisfied,Peu satisfait,Satisfait
34463,dissatisfied,Pas du tout satisfait,Peu satisfait
115388,satisfied,Tres satisfait,Tres satisfait
92511,satisfied,Satisfait,Satisfait
46743,dissatisfied,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait"
9181,satisfied,Tres satisfait,Satisfait
46201,dissatisfied,Pas du tout satisfait,Tres satisfait
3816,dissatisfied,Peu satisfait,Satisfait
126917,satisfied,Tres satisfait,Tres satisfait
84383,dissatisfied,Peu satisfait,"Ni satisfait, ni insatisfait"
21575,satisfied,Tres satisfait,Tres satisfait
60189,dissatisfied,Satisfait,Tres satisfait
109257,satisfied,Pas du tout satisfait,Satisfait
60367,satisfied,Satisfait,Tres satisfait
119857,satisfied,"Ni satisfait, ni insatisfait",Tres satisfait
93753,satisfied,Peu satisfait,Satisfait
19193,dissatisfied,Satisfait,Satisfait
111942,satisfied,Satisfait,Satisfait
