Id,Gender,Customer Type,Age,Class
13239,Male,Loyal Customer,24,Eco
30609,Male,Loyal Customer,35,Business
115706,Male,Loyal Customer,39,Business
64532,Female,Loyal Customer,56,Business
127023,Female,Loyal Customer,38,Eco
113688,Female,Loyal Customer,58,Business
43267,Female,disloyal Customer,37,Eco
41873,Female,disloyal Customer,29,Business
40280,Female,disloyal Customer,20,Eco
54611,Female,disloyal Customer,37,Eco
77374,Female,Loyal Customer,25,Eco
94704,Female,Loyal Customer,58,Business
76686,Female,Loyal Customer,39,Business
56117,Male,disloyal Customer,29,Eco
68686,Male,Loyal Customer,38,Business
117896,Female,Loyal Customer,48,Business
75760,Female,Loyal Customer,33,Business
90208,Female,Loyal Customer,39,Business
27107,Male,Loyal Customer,52,Eco
87954,Female,Loyal Customer,48,Business
113613,Female,Loyal Customer,46,Business
64370,Female,Loyal Customer,44,Business
37557,Female,Loyal Customer,55,Eco
79303,Male,Loyal Customer,31,Business
123268,Male,Loyal Customer,39,Eco
77069,Female,Loyal Customer,34,Eco
35960,Female,Loyal Customer,48,Eco
97689,Male,Loyal Customer,53,Business
94283,Male,Loyal Customer,53,Business
62916,Male,disloyal Customer,60,Business
122241,Female,Loyal Customer,43,Business
127120,Male,Loyal Customer,53,Business
75970,Male,Loyal Customer,22,Business
57824,Female,disloyal Customer,17,Eco
39747,Male,Loyal Customer,44,Eco
109851,Female,Loyal Customer,55,Business
790,Female,Loyal Customer,30,Eco
58859,Female,disloyal Customer,23,Eco
29646,Male,Loyal Customer,13,Eco
1042,Female,Loyal Customer,23,Eco
57957,Female,disloyal Customer,45,Business
81796,Female,Loyal Customer,30,Business
32311,Female,Loyal Customer,17,Eco
38529,Female,Loyal Customer,18,Eco Plus
55584,Female,disloyal Customer,27,Business
29754,Female,Loyal Customer,49,Eco Plus
22836,Male,Loyal Customer,50,Eco Plus
69900,Female,Loyal Customer,41,Eco
47234,Male,disloyal Customer,23,Eco
80684,Female,Loyal Customer,37,Business
43351,Male,disloyal Customer,37,Business
98773,Female,Loyal Customer,48,Business
43252,Male,disloyal Customer,11,Eco
22322,Male,Loyal Customer,30,Eco
70934,Male,Loyal Customer,52,Business
54969,Female,disloyal Customer,33,Business
109567,Female,Loyal Customer,60,Business
34463,Male,Loyal Customer,39,Business
115388,Female,Loyal Customer,48,Business
92511,Female,Loyal Customer,40,Business
46743,Female,disloyal Customer,66,Eco Plus
9181,Female,Loyal Customer,29,Business
46201,Male,disloyal Customer,27,Business
3816,Male,Loyal Customer,21,Eco
126917,Female,Loyal Customer,39,Business
84383,Female,Loyal Customer,40,Business
21575,Female,Loyal Customer,65,Eco
60189,Male,disloyal Customer,39,Business
109257,Male,Loyal Customer,43,Business
60367,Male,disloyal Customer,54,Eco
119857,Female,Loyal Customer,42,Business
93753,Male,Loyal Customer,40,Business
19193,Male,Loyal Customer,63,Eco
111942,Female,Loyal Customer,54,Business
87814,Male,Loyal Customer,53,Business
94397,Male,Loyal Customer,34,Business
56134,Female,disloyal Customer,59,Business
126543,Male,Loyal Customer,57,Business
62383,Female,disloyal Customer,24,Business
55688,Female,disloyal Customer,22,Eco
84514,Male,Loyal Customer,34,Business
77609,Male,Loyal Customer,40,Eco
10619,Male,Loyal Customer,66,Eco
46409,Female,disloyal Customer,23,Eco
81508,Female,Loyal Customer,57,Eco
68222,Male,Loyal Customer,35,Business
23491,Male,Loyal Customer,33,Eco
48272,Female,disloyal Customer,44,Eco
49731,Male,disloyal Customer,32,Business
80849,Male,Loyal Customer,39,Eco
18810,Male,Loyal Customer,41,Eco Plus
37572,Male,Loyal Customer,59,Eco
89181,Female,Loyal Customer,52,Business
16498,Male,Loyal Customer,52,Business
97919,Male,Loyal Customer,49,Business
69732,Male,Loyal Customer,39,Eco Plus
7608,Male,Loyal Customer,14,Eco
82996,Female,Loyal Customer,42,Eco
39511,Female,Loyal Customer,14,Business
63706,Female,Loyal Customer,31,Business
5511,Female,Loyal Customer,22,Eco
94005,Female,Loyal Customer,60,Business
106355,Female,Loyal Customer,54,Business
97084,Female,Loyal Customer,46,Business
91110,Female,Loyal Customer,47,Business
24772,Male,Loyal Customer,31,Eco
98192,Female,Loyal Customer,53,Business
63244,Male,disloyal Customer,47,Business
95896,Male,Loyal Customer,51,Business
55019,Male,disloyal Customer,32,Eco Plus
99454,Male,Loyal Customer,33,Business
112668,Female,Loyal Customer,49,Eco Plus
47346,Male,disloyal Customer,19,Eco
122639,Female,Loyal Customer,42,Business
15096,Male,Loyal Customer,28,Business
67021,Male,Loyal Customer,48,Eco
120674,Male,Loyal Customer,52,Business
22048,Female,Loyal Customer,27,Eco
61433,Female,disloyal Customer,24,Business
127449,Female,Loyal Customer,57,Business
22421,Male,Loyal Customer,15,Eco Plus
3978,Female,Loyal Customer,19,Eco
106713,Male,Loyal Customer,27,Eco
95502,Male,Loyal Customer,45,Business
41681,Female,disloyal Customer,33,Eco
104757,Female,Loyal Customer,28,Business
74140,Male,Loyal Customer,40,Eco
54477,Female,disloyal Customer,22,Eco
100626,Male,Loyal Customer,48,Business
32510,Male,Loyal Customer,35,Eco
63755,Male,Loyal Customer,42,Business
11349,Female,Loyal Customer,40,Eco
55050,Female,disloyal Customer,30,Business
123215,Male,Loyal Customer,60,Business
106909,Female,Loyal Customer,21,Eco
104672,Female,Loyal Customer,55,Business
14328,Male,Loyal Customer,27,Eco
6401,Male,Loyal Customer,29,Eco
97577,Male,Loyal Customer,60,Business
56632,Female,disloyal Customer,27,Eco
