Id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
13239,Male,Loyal Customer,24,Personal Travel,Eco,2069.0,Peu satisfait,Satisfait,Peu satisfait,Peu satisfait,Satisfait,Peu satisfait,Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,Satisfait,0.0,0.0,dissatisfied
30609,Male,Loyal Customer,35,Personal Travel,Business,399.0,"Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Satisfait,Satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,37.0,36.0,dissatisfied
115706,Male,Loyal Customer,39,Business travel,Business,3726.0,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,0.0,0.0,satisfied
64532,Female,Loyal Customer,56,Business travel,Business,2048.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Tres satisfait,0.0,0.0,satisfied
127023,Female,Loyal Customer,38,Business travel,Eco,1305.0,Tres satisfait,Satisfait,Satisfait,Satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Pas du tout satisfait,Peu satisfait,Tres satisfait,0.0,0.0,satisfied
113688,Female,Loyal Customer,58,Business travel,Business,62.0,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Peu satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Tres satisfait,Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,0.0,0.0,satisfied
43267,Female,disloyal Customer,37,Business travel,Eco,2285.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Satisfait,Tres satisfait,Pas du tout satisfait,Tres satisfait,Tres satisfait,Pas du tout satisfait,Tres satisfait,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,20.0,7.0,dissatisfied
41873,Female,disloyal Customer,29,Business travel,Business,2529.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Peu satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Satisfait,"Ni satisfait, ni insatisfait",Satisfait,Pas du tout satisfait,0.0,0.0,dissatisfied
40280,Female,disloyal Customer,20,Business travel,Eco,1660.0,Pas du tout satisfait,Pas du tout satisfait,Pas du tout satisfait,"Ni satisfait, ni insatisfait",Satisfait,Pas du tout satisfait,Satisfait,Satisfait,Satisfait,Peu satisfait,Satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Satisfait,5.0,0.0,satisfied
54611,Female,disloyal Customer,37,Business travel,Eco,3136.0,"Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait","Ni satisfait, ni insatisfait",Satisfait,Tres satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,Tres satisfait,Satisfait,Peu satisfait,"Ni satisfait, ni insatisfait",Peu satisfait,"Ni satisfait, ni insatisfait",Tres satisfait,0.0,6.0,dissatisfied
