Id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
8980,1,0,31,1,1,1869.0,2,1,2,0,3,2,3,3,1,1,0,1,3,3,1.0,0.0,0
87539,0,0,59,0,0,2236.0,4,2,4,4,4,3,4,0,0,3,0,3,0,0,0.0,0.0,1
93215,0,0,58,0,2,245.0,3,4,4,4,3,3,1,3,3,3,3,1,3,3,63.0,75.0,1
127844,0,0,32,0,0,4770.0,2,2,4,2,4,4,4,4,4,2,3,4,3,4,0.0,0.0,1
16304,0,0,58,1,1,1271.0,3,3,0,3,3,3,3,3,0,0,3,0,4,3,0.0,3.0,1
92353,0,0,17,0,0,1807.0,2,2,2,2,3,3,3,3,4,0,4,3,3,3,0.0,0.0,1
48399,0,1,25,0,1,2013.0,2,2,2,3,2,2,0,2,0,0,3,2,0,2,0.0,9.0,0
71978,0,0,36,0,0,2958.0,2,4,4,4,4,2,0,2,2,2,2,2,2,2,27.0,13.0,0
4739,1,0,43,1,1,1748.0,1,3,1,0,3,1,3,3,3,3,3,3,3,3,2.0,0.0,0
104444,1,0,59,0,0,2643.0,0,0,0,0,3,3,4,3,3,3,3,3,3,0,7.0,0.0,1
83739,1,0,37,0,0,3344.0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
24330,0,0,30,1,1,2624.0,4,2,4,4,0,4,1,4,4,4,4,1,4,4,2.0,0.0,1
103026,0,0,24,0,0,3252.0,0,0,0,0,3,3,3,3,4,1,4,3,1,3,0.0,0.0,1
30787,1,0,69,1,2,1245.0,0,4,0,0,3,0,4,3,0,3,3,4,4,3,43.0,31.0,0
95948,0,0,48,0,0,2974.0,2,2,2,2,4,3,4,3,3,3,3,4,3,1,0.0,0.0,1
62767,0,1,37,0,0,1773.0,4,4,4,2,3,4,3,3,0,4,3,4,4,3,90.0,88.0,1
7180,1,0,52,1,1,1849.0,1,4,1,0,4,1,4,4,0,4,4,4,4,4,26.0,23.0,0
68454,1,0,46,0,1,2691.0,1,0,0,0,1,1,1,1,2,1,3,1,0,1,0.0,0.0,0
119257,1,0,50,0,0,3115.0,3,3,3,3,4,3,0,4,4,4,4,1,4,2,23.0,14.0,1
100596,0,0,49,0,0,559.0,1,1,1,1,1,1,3,3,3,3,3,2,3,3,0.0,0.0,1
124880,1,0,32,0,0,2738.0,3,3,3,3,4,4,4,4,3,3,3,0,4,4,3.0,42.0,1
89761,0,0,58,0,1,987.0,3,2,4,2,2,3,2,3,3,3,3,3,3,2,23.0,0.0,1
6966,1,0,63,1,1,1902.0,1,4,1,0,3,1,3,3,4,0,3,4,4,3,19.0,24.0,0
16486,0,0,11,1,2,2860.0,1,1,1,1,2,4,3,3,3,3,3,4,3,3,106.0,119.0,1
22534,1,0,38,1,2,1894.0,0,2,4,0,1,4,1,1,3,3,0,2,0,1,0.0,0.0,0
50492,1,1,48,0,1,1544.0,2,4,2,3,2,2,2,2,1,1,1,2,2,2,0.0,0.0,0
6185,0,0,54,1,2,435.0,2,2,2,2,0,0,0,0,2,2,1,2,3,0,75.0,73.0,1
41036,1,1,25,0,1,2023.0,1,1,1,1,0,1,4,0,3,2,1,4,3,0,0.0,0.0,0
7672,0,0,51,1,1,1113.0,0,0,0,0,3,4,4,0,0,3,0,4,0,3,0.0,0.0,1
101800,1,0,36,0,0,343.0,0,0,0,0,1,0,4,3,3,3,3,1,3,2,0.0,0.0,1
12896,1,0,16,1,1,3371.0,2,3,2,2,1,2,1,1,4,4,4,4,3,1,0.0,0.0,0
62364,0,1,20,0,1,1772.0,4,3,4,0,3,4,3,3,1,4,3,0,3,3,1.0,0.0,1
121965,0,0,40,0,0,874.0,1,1,1,1,2,4,3,4,4,4,4,0,4,0,31.0,17.0,1
66777,1,0,16,0,0,2608.0,1,2,2,2,1,1,1,1,1,1,3,1,3,1,11.0,0.0,0
79294,0,0,37,0,0,3397.0,2,0,4,4,3,0,3,2,2,0,2,2,2,2,0.0,0.0,0
38013,1,0,36,1,1,1120.0,3,4,3,3,2,3,2,2,2,4,1,1,2,2,74.0,88.0,0
37590,1,0,28,1,1,1494.0,3,4,3,0,1,3,1,1,4,0,4,0,4,1,7.0,0.0,0
110258,0,0,21,0,0,3413.0,3,3,3,3,4,3,4,4,3,3,3,4,3,4,0.0,0.0,1
49581,0,1,25,0,1,1139.0,2,0,2,3,0,2,0,0,1,0,2,0,2,0,0.0,0.0,0
69464,0,0,35,0,0,3885.0,0,4,4,4,0,0,0,1,1,1,0,2,1,1,92.0,80.0,0
42563,0,1,28,0,1,2650.0,1,1,1,0,1,2,2,2,1,0,0,2,0,2,139.0,140.0,0
40594,0,1,24,0,2,978.0,1,2,1,0,2,1,1,2,0,3,2,4,0,2,1.0,0.0,1
105569,1,0,39,0,1,1525.0,3,1,4,4,3,3,3,3,4,0,0,0,4,3,0.0,0.0,1
115275,0,0,22,0,0,2485.0,2,2,2,2,4,4,4,4,0,2,2,2,3,4,0.0,26.0,1
105737,0,0,42,0,0,424.0,4,4,1,4,4,4,3,3,3,3,3,4,3,3,11.0,0.0,1
78272,1,0,30,0,0,3808.0,0,2,4,2,0,2,0,0,2,3,3,3,3,0,0.0,0.0,0
57168,1,1,41,0,1,1098.0,3,1,3,0,4,3,4,4,3,0,3,3,1,4,0.0,0.0,0
78546,0,0,39,0,0,2722.0,3,3,3,3,2,3,0,2,2,2,3,1,2,3,10.0,4.0,0
73204,0,0,66,0,0,866.0,2,4,4,4,1,3,0,2,2,2,2,3,2,0,0.0,1.0,0
50217,1,1,21,0,1,1524.0,2,3,2,3,1,2,1,1,1,2,0,3,3,1,119.0,108.0,0
27249,1,0,47,1,2,1391.0,0,3,0,3,0,0,0,0,0,2,4,0,4,0,43.0,46.0,0
41737,0,1,40,0,0,1968.0,1,1,1,2,2,1,2,2,0,3,4,4,4,2,4.0,0.0,0
100323,0,0,43,0,1,963.0,3,4,4,4,1,1,0,3,3,3,3,1,3,0,0.0,1.0,1
54217,1,1,23,0,1,1784.0,0,0,0,0,0,0,3,0,3,3,3,0,4,0,0.0,0.0,0
51567,1,1,37,0,1,2154.0,0,2,2,1,3,2,3,3,3,3,0,2,4,3,0.0,4.0,0
53461,0,1,20,0,1,2847.0,0,0,0,0,0,3,3,1,3,0,3,3,0,3,151.0,146.0,0
120383,1,0,64,0,1,1677.0,4,0,0,0,4,4,4,4,4,2,1,1,3,4,0.0,0.0,1
69267,0,0,12,0,0,2970.0,2,1,1,1,2,1,2,2,2,0,0,2,3,2,0.0,0.0,0
120911,1,0,41,0,0,1457.0,4,4,4,4,3,3,3,4,4,4,4,4,4,3,0.0,7.0,1
